pmid	ti	ab	fau	dp
11797492	The emerging field of yoga therapy.		Chandler, K	2001 Nov
21206890	Yoga: better treatment or better placebo?		Andrade, Chittaranjan	2002 Jan
21038735	Erotic literature in nineteenth-century Bali.		Creese, Helen;Bellows, Laura	2002
19499629	"Adapt, adjust, accommodate": the production of yoga in a transnational world.		Strauss, Sarah	2002
11751348	Effect of rosary prayer and yoga mantras on autonomic cardiovascular rhythms: comparative study.	OBJECTIVE: To test whether rhythmic formulas such as the rosary and yoga mantras can synchronise and reinforce inherent cardiovascular rhythms and modify baroreflex sensitivity. DESIGN: Comparison of effects of recitation of the Ave Maria (in Latin) or of a mantra, during spontaneous and metronome controlled breathing, on breathing rate and on spontaneous oscillations in RR interval, and on blood pressure and cerebral circulation. SETTING: Florence and Pavia, Italy. PARTICIPANTS: 23 healthy adults. MAIN OUTCOME MEASURES: Breathing rate, regularity of breathing, baroreflex sensitivity, frequency of cardiovascular oscillations. RESULTS: Both prayer and mantra caused striking, powerful, and synchronous increases in existing cardiovascular rhythms when recited six times a minute. Baroreflex sensitivity also increased significantly, from 9.5 (SD 4.6) to 11.5 (4.9) ms/mm Hg, P<0.05. CONCLUSION: Rhythm formulas that involve breathing at six breaths per minute induce favourable psychological and possibly physiological effects.	Bernardi, L;Sleight, P;Bandinelli, G;Cencetti, S;Fattorini, L;Wdowczyc-Szulc, J;Lagi, A	2001 Dec 22-29
11745596	Progressive muscle relaxation, breathing exercises, and ABC relaxation theory.	This study compared the psychological effects of Progressive Muscle Relaxation (PMR) and breathing exercises. Forty-two students were divided randomly into two groups and taught PMR or breathing exercises. Both groups practiced for five weeks and were given the Smith Relaxation States Inventory before and after each session. As hypothesized, PMR practitioners displayed greater increments in relaxation states (R-States) Physical Relaxation and Disengagement, while breathing practitioners displayed higher levels of R-State Strength and Awareness. Slight differences emerged at Weeks 1 and 2; major differences emerged at Weeks 4 and 5. A delayed and potentially reinforcing aftereffect emerged for PMR only after five weeks of training--increased levels of Mental Quiet and Joy. Clinical and theoretical implications are discussed.	Matsumoto, M;Smith, J C	2001 Dec
11707708	Whiplash injury determination with conventional spine imaging and cryomicrotomy.	STUDY DESIGN: Soft tissue-related injuries to the cervical spine structures were produced by use of intact entire human cadavers undergoing rear-end impacts. Radiography, computed tomography, and cryomicrotomy techniques were used to evaluate the injury. OBJECTIVES: To replicate soft tissue injuries resulting from single input of whiplash acceleration to whole human cadavers simulating vehicular rear impacts, and to assess the ability of different modes of imaging to visualize soft tissue cervical lesions. SUMMARY OF BACKGROUND DATA: Whiplash-associated disorders such as headache and neck pain are implicated with soft tissue abnormalities to structures of the cervical spine. To the authors' best knowledge, no previous studies have been conducted to determine whether single cycle whiplash acceleration input to intact entire human cadavers can result in these soft tissue alterations. There is also a scarcity of data on the efficacy of radiography and computed tomography in assessing these injuries. METHODS: Four intact entire human cadavers underwent single whiplash acceleration (3.3 g or 4.5 g) loading by use of a whole-body sled. Pretest and posttest radiographs, computed tomography images, and sequential anatomic sections using a cryomicrotome were obtained to determine the extent of trauma to the cervical spine structures. RESULTS: Routine radiography identified the least number of lesions (one lesion in two specimens). Although computed tomography was more effective (three lesions in two specimens), trauma was not readily apparent to all soft tissues of the cervical spine. Cryomicrotome sections identified structural alterations in all four specimens to lower cervical spine components that included stretch and tear of the ligamentum flavum, anulus disruption, anterior longitudinal ligament rupture, and zygopophysial joint compromise with tear of the capsular ligaments. CONCLUSIONS: These results clearly indicate that a single application of whiplash acceleration pulse can induce soft tissue-related and ligament-related alterations to cervical spine structures. The pathologic changes identified in this study support previous observations from human volunteers observations with regard to the location of whiplash injury and may assist in the explanation of pain arising from this injury. Although computed tomography is a better imaging modality than radiography, subtle but clinically relevant injuries may be left undiagnosed with this technique. The cryomicrotome technique offers a unique procedure to understand and compare soft tissue-related injuries to the cervical anatomy caused by whiplash loading. Recognition of these injuries may advance the general knowledge of the whiplash disorder.	Yoganandan, N;Cusick, J F;Pintar, F A;Rao, R D	2001 Nov 15
11573025	Gender differences in psychophysiological responses to speech stress among older social phobics:: congruence and incongruence between self-evaluative and cardiovascular reactions.	OBJECTIVE: Evidence suggests increased cardiovascular risk and autonomic impairment among individuals with chronic anxiety. Little attention, however, has been paid to the anxiety disorder of social phobia despite its high prevalence. Additionally, gender- and age-related cardiovascular profiles have not been examined in relation to social phobia. This study investigated cardiovascular responses to a socially threatening situation among older men and women with social phobia and control subjects. METHODS: Thirty subjects with social phobia and 30 control subjects (mean age = 65 years) were assessed during baseline, paced breathing, speech preparation, and speech presentation. Electrocardiographic variables, blood pressure, respiration, and emotional state (self-reported) were monitored. Hemodynamic variables included heart rate, blood pressure, cardiac output, and systemic vascular resistance; autonomic measures were respiratory sinus arrhythmia and baroreflex sensitivity, both markers of cardiac vagal control, and 0.10-Hz systolic blood pressure variability, an index of sympathetic vasomotor tone. RESULTS: Subjects with social phobia, in contrast to nonanxious control subjects, manifested more anxiety, embarrassment, and somatic complaints in response to stress; however, physiological measures generally did not distinguish groups. Interaction effects indicated that socially phobic women were hyperresponsive to the stressor with respect to self-reported, hemodynamic, and autonomic parameters. Socially phobic men manifested no physiological differences in comparison with control subjects, but they reported more psychological and somatic complaints. CONCLUSIONS: Gender differences in subjective and physiological responses to a socially threatening situation indicate congruence between perceived social anxiety and physiological responses in older women but not men. We found no evidence of impaired cardiovascular autonomic regulation among socially phobic men despite other reports that phobically anxious men are at greater cardiovascular risk.	Grossman, P;Wilhelm, F H;Kawachi, I;Sparrow, D	2001 Sep-Oct
11530720	Relaxation therapy in adult asthma. Is there new evidence for its effectiveness?	Studies of relaxation training for adult asthma patients were reviewed for the period between 1980 and 2000. Six controlled and three uncontrolled studies were identified, employing a variety of methods, such as progressive relaxation, functional relaxation, autogenic training, or yoga. Most studies had low sample sizes and suffered from one or more methodological deficiencies, such as suboptimal data analysis, high dropout rates, problematic measurement procedures, or insufficient descriptions of methodology and results. Overall effects on parameters of lung function, symptoms, medication consumption, and health care use were generally negligible. Problems with the underlying rationale of relaxation therapy in asthma are discussed from a psychophysiological viewpoint. Examples are given of potential beneficial and detrimental effects of these techniques on lung function with respect to emotional processes, the musculoskeletal system, and ventilation as targets of a relaxation intervention. It remains to be demonstrated that relaxation training can significantly contribute to the standard treatment of asthma in adult patients.	Ritz, T	2001 Sep
11524157	Human anterior and frontal midline theta and lower alpha reflect emotionally positive state and internalized attention: high-resolution EEG investigation of meditation.	EEG spectral power and coherence estimates in the individually defined delta, theta, alpha-1, alpha-2, and alpha-3 bands were used to identify and characterize brain regions involved in meditative states, in which focused internalized attention gives rise to emotionally positive "blissful" experience. Blissful state was accompanied by increased anterior frontal and midline theta synchronization as well as enhanced theta long-distant connectivity between prefrontal and posterior association cortex with distinct "center of gravity" in the left prefrontal region (AF3 site). Subjective scores of emotional experience significantly correlated with theta, whereas scores of internalized attention with both theta and alpha lower synchronization. Our results propose selective associations of theta and alpha oscillating networks activity with states of internalized attention and positive emotional experience.	Aftanas, L I;Golocheikine, S A	2001 Sep 7
11480165	The physiological correlates of Kundalini Yoga meditation: a study of a yoga master.	This study explores the physiological correlates of a highly practiced Kundalini Yoga meditator. Thoracic and abdominal breathing patterns, heart rate (HR), occipital parietal electroencephalograph (EEG), skin conductance level (SCL), and blood volume pulse (BVP) were monitored during prebaseline, meditation, and postbaseline periods. Visual analyses of the data showed a decrease in respiration rate during the meditation from a mean of 11 breaths/min for the pre- and 13 breaths/min for the postbaseline to a mean of 5 breaths/min during the meditation, with a predominance of abdominal/diaphragmatic breathing. There was also more alpha EEG activity during the meditation (M = 1.71 microV) compared to the pre- (M = .47 microV) and postbaseline (M = .78 microV) periods, and an increase in theta EEG activity immediately following the meditation (M = .62 microV) compared to the pre-baseline and meditative periods (each with M = .26 microV). These findings suggest that a shift in breathing patterns may contribute to the development of alpha EEG, and those patterns need to be investigated further.	Arambula, P;Peper, E;Kawakami, M;Gibney, K H	2001 Jun
23105323	A preliminary report on the role of yoga asanas on oxidative stress in non-insulin dependent diabetes mellitus.	Nineteen subjects of non-insulin dependent diabetes mellitus (NIDDM) between the age group of 30-60 yrs were studied to see the effect of specific yoga asanas on fasting and postprandial blood glucose (FBG, PPG), serum malondialdehyde (MDA) and glycosylated hemoglobin (HbA(1)) in addition to drug treatment and diet control. The duration of diabetes ranged from 1-10 years. Patients with renal, cardiac and proliferative retinal diseases were excluded from the study. The same patients served as their own control. Subjects were called in the morning to the cardio-respiratory laboratory and were given training by a yoga expert. Yoga asanas included Suryanamskar, Tadasan, TriKonasan, Padmasan, Pranayam, Paschimottanasan, Ardhmatsyendrasan, Pavanmukthasan, Sarpasan and Shavasan. The asanas were done every day for 40 days for 30-40 min. FBG, PPG, serum MDA and HbA(1) were estimated before and after 40 days of yoga asanas regimen. Significant reduction was seen in FBG from 220 mg/dl to 162 mg/dl, PPG from 311 mg/dl to 255 mg/dl, MDA from 6 nmol/l to 3 nmol/l and HbA(1), from 8.8% to 6.4%. Subjects felt better and were relieved of their stresses and had an improvement in their day to day performance. The decrease was statistically significant (p<0.0001 for FBG and PPG, p<0.001 for MDA and for HbA(1)).	Singh, S;Malhotra, V;Singh, K P;Sharma, S B;Madhu, S V;Tandon, O P	2001 Jul
11424777	[Evaluation of the peripartum effects of 2 analgesics: meperidine and tramadol, used in labor].	The need for analgesia to overcome pain in labour is highly requested by women today. Various ways either non pharmachologic e.g. Emotional sustain, psycho-prophylactic preparation, yoga and hypnosis or pharmachologic such as epidural blockade or parenteral are used. Therefore in our study we evaluated the efficacy and tolerability of the two opioids usually used today in parenteral analgesia to reduce pain during labour: Tramadol and Meperidine. We studied two groups of patients each made up of 20 women in labour, all at term and with a physiologic course of pregnancy. 75 mg i.m. of Meperidine chloryhydrate were somministered in the first group while in the second group 100 mg i.m. of tramadol chloryhydrate were somministered. Various maternal, fetal and neonatal parameters were then monitored demonstrating--A moderate maternal analgesic effect in both drugs (evaluated through the analogic grading of pain). In the group to whom Meperidine was given, sedative effects on the mother were observed associated with respiratory depression in the newborn (the latter evaluated through the Apgar index at 1st and 5th minute of life and pH of the blood obtained at the umbilical cord. The data obtained permitted us to conclude that Tramadol in accordance to the obtained in literature gives an analogous analgesic effect, with better tolerability for the absence of collateral effects on the mother, fetus and newborn.	Fieni, S;Angeri, F;Kaihura, C T;Ricci, L;Bedocchi, L;Galanti, B;Rossi, T;Benassi, G;Benassi, L	2000
11393679	Breathing patterns and cardiovascular autonomic modulation during hypoxia induced by simulated altitude.	OBJECTIVE: To assess the influence of different breathing patterns on autonomic cardiovascular modulation during acute exposure to altitude-induced hypoxia. DESIGN: We measured relative changes in minute ventilation (VE), oxygen saturation (%SaO2), spectral analysis of RR interval and blood pressure, and response to stimulation of carotid baroreceptors (neck suction) at baseline and after acute (1 h) hypobaric hypoxia (equivalent to 5,000 m, in a hypobaric chamber). METHODS: We studied 19 human subjects: nine controls and 10 Western yoga trainees of similar age, while breathing spontaneously, at 15 breaths/min (controlled breathing) and during 'complete yogic breathing' (slow diaphragmatic + thoracic breathing, approximately 5 breaths/min) in yoga trainees, or simple slow breathing in controls. RESULTS: At baseline %SaO2, VE and autonomic pattern were similar in both groups; simulated altitude increased VE in controls but not in yoga trainees; %SaO2 decreased in all subjects (P< 0.0001), but more in controls than in yoga trainees (17 versus 12%, 14 versus 9%, 14 versus 8%, all P< 0.05 or better, during spontaneous breathing, controlled breathing and yogic or slow breathing, respectively). Simulated altitude decreased RR interval (from 879 +/- 45 to 770 +/- 39, P < 0.01) and increased indices deducted from spectral analysis of heart rate variability (low frequency/high frequency (LF/HF) ratio from 1.6 +/- 0.5 to 3.2 +/- 1.1, P < 0.05) and systolic blood pressure (low-frequency fluctuations from 2.30 +/- 0.31 to 3.07 +/- 0.24 In-mmHg2, P< 0.05) in controls, indicating sympathetic activation; these changes were blunted in yoga trainees, and in both groups during slow or yogic breathing. No effect of altitude was seen on stimulation of carotid baroreceptors in both groups. CONCLUSIONS: Well-performed slow yogic breathing maintains better blood oxygenation without increasing VE (i.e. seems to be a more efficient breathing) and reduces sympathetic activation during altitude-induced hypoxia.	Bernardi, L;Passino, C;Wilmerding, V;Dallam, G M;Parker, D L;Robergs, R A;Appenzeller, O	2001 May
11365889	Complementary therapy.			1998 Sep-Oct
11342401	Meditation, yoga, and guided imagery.	The author presents an introduction to insight or mindfulness meditation, yoga, and guided imagery from theoretical and practical perspectives. She provides clear, easy-to-follow steps to begin using sitting meditation, walking meditation, and yoga for the health care provider and for the patient. She presents the material first for self-knowledge and self-care and secondarily for connecting to others in healing relationships.	Pettinati, P M	2001 Mar
11330024	The power of yoga.		Corliss, R	2001 Apr 23
11314700	Alternative medicine. A new breed of healers.			2001 Apr 16
11273502	Retardation of coronary atherosclerosis with yoga lifestyle intervention.	BACKGROUND: Yoga has potential for benefit for patients with coronary artery disease though objective, angiographic studies are lacking. MATERIAL AND METHODS: We evaluated possible role of lifestyle modification incorporating yoga, on retardation of coronary atherosclerotic disease. In this prospective, randomized, controlled trial, 42 men with angiographically proven coronary artery disease (CAD) were randomized to control (n = 21) and yoga intervention group (n = 21) and were followed for one year. The active group was treated with a user-friendly program consisting of yoga, control of risk factors, diet control and moderate aerobic exercise. The control group was managed by conventional methods i.e. risk factor control and American Heart Association step I diet. RESULTS: At one year, the yoga groups showed significant reduction in number of anginal episodes per week, improved exercise capacity and decrease in body weight. Serum total cholesterol, LDL cholesterol and triglyceride levels also showed greater reductions as compared with control group. Revascularisation procedures (coronary angioplasty or bypass surgery) were less frequently required in the yoga group (one versus eight patients; relative risk = 5.45; P = 0.01). Coronary angiography repeated at one year showed that significantly more lesions regressed (20% versus 2%) and less lesions progressed (5% versus 37%) in the yoga group (chi-square = 24.9; P < 0.0001). The compliance to the total program was excellent and no side effects were observed. CONCLUSION: Yoga lifestyle intervention retards progression and increases regression of coronary atherosclerosis in patients with severe coronary artery disease. It also improves symptomatic status, functional class and risk factor profile.	Manchanda, S C;Narang, R;Reddy, K S;Sachdeva, U;Prabhakaran, D;Dharmanand, S;Rajani, M;Bijlani, R	2000 Jul
11273114	Yoga therapy in chronic bronchitis.	Fifteen patients of chronic bronchitis received yoga therapy in the form of pranayam and 8 types of 'asans' for a period of 4 weeks. They had a perceptible improvement in dyspnoea as was measured by visual analog. Lung function parameters (VC, FEV1, and PEFR) also improved after the practice of yoga. This preliminary study indicates that, yoga may be an useful adjunct to other conventional form of therapy for COPD.	Behera, D	1998 Feb
11272936	Discovering yoga.			2001 Feb
11272380	Incorporating new (mind/body, alternative, complementary, or integrative) medicine into everyday care.	Use of a variety of therapies and techniques--ranging from acupuncture to yoga to herbal therapies--that are designed to relieve medical conditions and illnesses and/or emphasize the mind, body, and spirit connections are gaining popularity among patients in the United States. For years, many hospitals, plans, clinicians, and insurers ignored these therapies when using "conventional" therapies. But, times are changing: A movement is now afoot to determine whether these therapies and techniques can be successfully integrated with current health care treatments to provide quality care to patients.	Simmons, J C	2001 Feb
11268398	Oncology in neuroimmunomodulation. What progress has been made?	In 1987 in Dubrovnik, Yugoslavia, N.H. Spector named a new discipline: Neuroimmunomodulation. R. Ader called this new discipline psychoneuroimmunomodulation when the major emphysis was on its behavioral aspects. Neuroimmunomodulation (NIM) is devoted to the study of the interactions at different morphologic and functional levels among the immune, nervous, and endocrine systems. In fact, this science is the modern manifestation of an old science: in the words of B.D. Jankovic (1987), "Neuroimmunomodulation is a modern reflection in neurosciences and immunosciences of the ideas and experience of philosophers and ingenious observers of ancient Egypt, Greece, China, India, and other civilizations that the mind is involved in the defense against diseases." Twelve years ago NIM was regarded by many conventional scientists almost as a form of witchcraft. Today it may be the fastest growing area of biomedical science research in the world. Important clinical applications will not be far behind. NIM research has also progressed in the field of oncology research. Topics such as treatment of hormone-dependent cancer with analogues of hypothalamic hormones, the role of opioids and T cells in cancer, stress-cancer-immune connections, the anticancer role of melatonin and cytokines, immunotherapy of cancer, and the role of psychotherapy in cancer patients represent some lines of research that have been or are being investigated by scientists. Some areas remain to be thoroughly investigated such as the influence of physical exercise (sports), music (classical or modern), and/or relaxation techniques (e.g. yoga) on the development of human cancer. This paper reviews the role of NIM in oncology and provides some perspectives for further research and development of clinical applications.	Conti, A	2000
11265522	[Therapy perspectives in subjective tinnitus].	The AA. of this article have achieved a bibliographical perusal about treatment of subjective tinnitus, including even papers based on controlled clinical trials. Pharmacologic agents are settled on vasodilators of cochlear microcirculation (nimodipine, trimetazidine, Ginkgo biloba extract, misoprostol), lidocaine, the anxiolitics (alprazolam, corazepam) and the antidepressants (nortrityline). Comments sonorous amplification. Also are displayed, because of their benefits, the relaxation techniques (biofeeback, hypnotherapy, acupuncture and yoga) and psychological counseling.	Lacosta Nicolas, J L;Garcia Cano, J	2001
11254004	Yoga and chemoreflex sensitivity.		Roggla, G;Kapiotis, S;Roggla, H	2001 Mar 10
11246939	Emerging paradigms in mind-body medicine.	The emerging paradigms in medicine can be seen through mind-body interactions. Observations in many meditative traditions suggest a series of objective indicators of health beyond absence of disease. Several of the physical signs have been confirmed by research or are consistent with modern science. Further correlation with long term health outcome is needed. Integration of meditation with conventional therapy has enriched psychotherapy with parallels drawn between the Nine Step Qigong and Freudian developmental psychology. A unified theory of the chakra system and the meridian system widely used in traditional mind-body interventions and acupuncture is presented in terms of modern science based on the morphogenetic singularity theory. Acupuncture points originate from the organizing centers in morphogenesis. Meridians and chakras are related to the underdifferentiated, interconnected cellular network that regulates growth and physiology. This theory explains the distribution and nonspecific activation of organizing centers and acupuncture points; the high electric conductance of the meridian system; the polarity effect of electroacupuncture; the side-effect profile of acupuncture; and the ontogeny, phylogeny, and physiologic function of the meridian system and chakra system. It also successfully predicted several findings in conventional biomedical science. These advances have implications in many disciplines of medicine.	Shang, C	2001 Feb
11234718	"Om a little teapot...".		Labi, N	2001 Feb 19
11229124	The role of cough and hyperventilation in perpetuating airway inflammation in asthma.	Air flowing through a pipe exerts frictional stress on the walls of the pipe. Frictional stress of more than 40 N/m2 (velocity equivalent of air 113 m/s) is known to cause acute endothelial damage in blood vessels. The frictional stress in airways during coughing may be much greater, however, since the velocity of air may be as high as speed of sound in air. We suggest that high levels of frictional stress perpetuate airway inflammation in airways which are already inflamed and vulnerable to frictional stress-induced trauma in patients with asthma. Activities associated with rapid ventilation and higher frictional stress (e.g. exercise, hyperventilation, coughing, sneezing and laughing) cause asthma to worsen whilst activities that reduce frictional stress (Yoga 'Pranayama', breathing a helium-oxygen mixture and nasal continuous positive airway pressure) are beneficial. Therefore control of cough may have anti-inflammatory benefits in patients with asthma.	Singh, V;Chowdhary, R;Chowdhary, N	2000 Mar
11218923	Oxygen consumption and respiration following two yoga relaxation techniques.	The present study was conducted to evaluate a statement in ancient yoga texts that suggests that a combination of both "calming" and "stimulating" measures may be especially helpful in reaching a state of mental equilibrium. Two yoga practices, one combining "calming and stimulating" measures (cyclic meditation) and the other, a "calming" technique (shavasan), were compared. The oxygen consumption, breath rate, and breath volume of 40 male volunteers (group mean +/- SD, 27.0 +/- 5.7 years) were assessed before and after sessions of cyclic meditation (CM) and before and after sessions of shavasan (SH). The 2 sessions (CM, SH) were 1 day apart. Cyclic meditation includes the practice of yoga postures interspersed with periods of supine relaxation. During SH the subject lies in a supine position throughout the practice. There was a significant decrease in the amount of oxygen consumed and in breath rate and an increase in breath volume after both types of sessions (2-factor ANOVA, paired t test). However, the magnitude of change on all 3 measures was greater after CM: (1) Oxygen consumption decreased 32.1% after CM compared with 10.1% after SH; (2) breath rate decreased 18.0% after CM and 15.2% after SH; and (3) breath volume increased 28.8% after CM and 15.9% after SH. These results support the idea that a combination of yoga postures interspersed with relaxation reduces arousal more than relaxation alone does.	Telles, S;Reddy, S K;Nagendra, H R	2000 Dec
11214505	Minimum muscular fitness in school children.	Two hundred and fifty school boys from Lonavla were randomly selected and tested with Kraus-Weber tests for their minimum muscular fitness. The results revealed that 20.8 per cent boys failed in the tests. Multiple failures were 4.8 percent while flexibility failures alone were 11.6 percent. Boys at the age of 15 years failed more in flexibility test. Boys at the age of 10 years had the maximum percentage of failures to the extent of 38.5. Inclusion of Yogasanas in the programme of physical activities of the school is suggested for the improvement of the status of the failures.	Gharote, M M	2000 Oct
11214493	Cardiovascular responses to head-down-body-up postural exercise (Sarvangasana).	Sarvangasana (SVGN) is a head-down-body-up postural exercise in a 'negative g' condition. Though highly recommended as one of the three best of all the asanas it has not yet been studied for its very obvious effects on the cardiovascular (CV) functions. This paper reports the results of the first systematic investigation on SVGN employing echocardiographic analysis in eight healthy male subjects before and after a practice of this asana twice daily for two weeks. The resting heart rate (HR) and left ventricular end-diastolic volume (LVEDV) were significantly reduced (P < 0.02, P < 0.01 respectively) after practising this asana. A tendency toward a mild regression of the left ventricular mass was noticed, though it was not statistically significant. The CV responses to acute 45 degrees head-down tilt (HDT) in a tilt table was not altered after practising this asana. Also there was no orthostatic intolerance during the 3-5 min period of 70 degrees head-up tilt (HUT). These results strongly indicate that further studies of this asana performed for a longer period is most likely to yield very significant observations of applied value.	Konar, D;Latha, R;Bhuvaneswaran, J S	2000 Oct
11211575	Efficacy of naturopathy and yoga in bronchial asthma--a self controlled matched scientific study.	Asthma is one of the common psychosomatic illness influenced by many factors. Bronchodilators give temporary relief and have side effects. The present study is aimed at finding the efficacy of a non-pharmacological approach of naturopathy and Yoga in bronchial asthma. A total no of 37 patients (19 men, 18 women) with mean age 35.06 yrs (men), 40.74 yrs (women) admitted to INYS, Bangalore, for the period of 21 days. The treatment included 1. Diet therapy 2. Nature cure treatment and 3. Yoga therapy. The various parameters including lung function test were measured on admission and once a week. Results showed the significant improvement in PEFR, VC, FVC, FEV1, FEV/FEC %, MVV, ESR and absolute eosinophil count. The patients reported a feeling of well being, freshness and comfortable breathing. Naturopathy and yoga helps in inducing positive health, alleviating the symptoms of disease by acting at physical and mental levels.	Sathyaprabha, T N;Murthy, H;Murthy, B T	2001 Jan
11211570	Effect of yogic exercises on physical and mental health of young fellowship course trainees.	A study was undertaken to observe any beneficial effect of yogic practices during training period on the young trainees. 54 trainees of 20-25 years age group were divided randomly in two groups i.e. yoga and control group. Yoga group (23 males and 5 females) was administered yogic practices for the first five months of the course while control group (21 males and 5 females) did not perform yogic exercises during this period. From the 6th to 10th month of training both the groups performed the yogic practices. Physiological parameters like heart rate, blood pressure, oral temperature, skin temperature in resting condition, responses to maximal and submaximal exercise, body flexibility were recorded. Psychological parameters like personality, learning, arithmetic and psychomotor ability, mental well being were also recorded. Various parameters were taken before and during the 5th and 10th month of training period. Initially there was relatively higher sympathetic activity in both the groups due to the new work/training environment but gradually it subsided. Later on at the 5th and 10th month, yoga group had relatively lower sympathetic activity than the control group. There was improvement in performance at submaximal level of exercise and in anaerobic threshold in the yoga group. Shoulder, hip, trunk and neck flexibility improved in the yoga group. There was improvement in various psychological parameters like reduction in anxiety and depression and a better mental function after yogic practices.	Ray, U S;Mukhopadhyaya, S;Purkayastha, S S;Asnani, V;Tomer, O S;Prashad, R;Thakur, L;Selvamurthy, W	2001 Jan
11198952	Evaluating complementary and alternative therapies for cancer patients.	"Complementary and alternative" therapies are actually a vast collection of disparate, unrelated regimens and products, ranging from adjunctive modalities that effectively enhance quality of life and promising antitumor herbal remedies now under investigation, to bogus therapies that claim to cure cancer and that harm not only directly, but also indirectly by encouraging patients to avoid or postpone effective cancer care. Complementary therapies such as music and massage, herbal teas to aid digestion and relieve nausea, yoga, tai chi, meditation, and the many other well-documented techniques that relieve stress and enhance well-being should be made available to patients to augment and ease the experience of cancer treatment and recovery. Many time-tested herbal and diet-based remedies are now being studied for their abilities to induce or extend remission without toxicity. At the same time, lack of government regulatory authority leaves consumers at the mercy of those who promote unproved remedies, scores of which the grocery store and pharmacy shelves. Many of these over-the-counter products contain harmful ingredients. Herb-drug interactions, only some of which are documented, occur with frequency and are sufficiently problematic to require that patients stop taking herbal remedies prior to surgery (to prevent interactions with anesthetics and anticoagulant effects); before radiation (due to potential for increased photosensitivity); and during courses of chemotherapy (to prevent product-drug interactions). Moreover, both good information and misinformation that appear in printed materials and on the Internet appeal to better educated consumers, who are, in fact, the most likely to try complementary and alternative methods.	Cassileth, B R	1999 Nov-Dec
11207455	The etiologies, pathophysiology, and alternative/complementary treatment of asthma.	A chronic inflammatory disorder of the respiratory airways, asthma is characterized by bronchial airway inflammation resulting in increased mucus production and airway hyper-responsiveness. The resultant symptomatology includes episodes of wheezing, coughing, and shortness of breath. Asthma is a multifactorial disease process with genetic, allergic, environmental, infectious, emotional, and nutritional components. The underlying pathophysiology of asthma is airway inflammation. The underlying process driving and maintaining the asthmatic inflammatory process appears to be an abnormal or inadequately regulated CD4+ T-cell immune response. The T-helper 2 (Th2) subset produces cytokines including interleukin-4 (IL-4), IL-5, IL-6, IL-9, IL-10, and IL-13, which stimulate the growth, differentiation, and recruitment of mast cells, basophils, eosinophils, and B-cells, all of which are involved in humoral immunity, inflammation, and the allergic response. In asthma, this arm of the immune response is overactive, while Th1 activity, generally corresponding more to cell-mediated immunity, is dampened. It is not yet known why asthmatics have this out-of-balance immune activity, but genetics, viruses, fungi, heavy metals, nutrition, and pollution all can be contributors. A plant lipid preparation containing sterols and sterolins has been shown to dampen Th2 activity. Antioxidant nutrients, especially vitamins C and E, selenium, and zinc appear to be necessary in asthma treatment. Vitamins B6 and B12 also may be helpful. Omega-3 fatty acids from fish, the flavonoid quercetin, and botanicals Tylophora asthmatica, Boswellia serrata and Petasites hybridus address the inflammatory component. Physical modalities, including yoga, massage, biofeedback, acupuncture, and chiropractic can also be of help.	Miller, A L	2001 Feb
11181093	Yoga for control of epilepsy.	Yoga is an age-old traditional Indian psycho-philosophical-cultural method of leading one's life, that alleviates stress, induces relaxation and provides multiple health benefits to the person following its system. It is a method of controlling the mind through the union of an individual's dormant energy with the universal energy. Commonly practiced yoga methods are 'Pranayama' (controlled deep breathing), 'Asanas' (physical postures) and 'Dhyana' (meditation) admixed in varying proportions with differing philosophic ideas. A review of yoga in relation to epilepsy encompasses not only seizure control but also many factors dealing with overall quality-of-life issues (QOL). This paper reviews articles related to yoga and epilepsy, seizures, EEG, autonomic changes, neuro-psychology, limbic system, arousal, sleep, brain plasticity, motor performance, brain imaging studies, and rehabilitation. There is a dearth of randomized, blinded, controlled studies related to yoga and seizure control. A multi-centre, cross-cultural, preferably blinded (difficult for yoga), well-randomized controlled trial, especially using a single yogic technique in a homogeneous population such as Juvenile myoclonic epilepsy is justified to find out how yoga affects seizure control and QOL of the person with epilepsy.	Yardi, N	2001 Jan
11181092	Yoga for epilepsy: methodological issues.	This article deals with the methodological issues that might be encountered in designing and conducting a randomized controlled study of the efficacy of yoga in the treatment of epilepsy. Methodological issues relating to patient selection, randomization, blinding, type of intervention, outcome measures and analysis are highlighted.	Ramaratnam, S	2001 Jan
11140067	Invest in yourself. Yoga as a self-care strategy.	A widening recognition of the mind-body-spirit connection in western medicine has resulted in a growing interest in ancient health practices such as yoga. As complementary therapies enter mainstream medical settings, nurses and other healthcare providers need a fundamental understanding of these modalities to be able to advise patients effectively. This article provides an overview of yoga and details the benefits of yoga practice.	Herrick, C M;Ainsworth, A D	2000 Apr-Jun
11122977	Therapeutic approaches to the treatment of refractory obsessive-compulsive disorder.	Obsessive-compulsive disorder (OCD) is a debilitating condition that afflicts approximately 1% to 3% of the world population. The primary treatments are selective serotonin reuptake inhibitors and behavioral therapy. Despite therapy, approximately 30% to 40% of patients continue to suffer from disabling OCD symptoms. This article addresses the range of treatment options for patients with refractory OCD, focusing upon novel strategies and the most recent research.	Kochan, L D;Qureshi, A I;Fallon, B A	2000 Aug
